1931 00719 1|T|122.43529454|+25.55802350|       |       | 40.3| 26.8|     |     | |11.485|0.074|10.692|0.054|289|T|
1961 00719 1|T|149.27290517|+24.01550802|       |       | 52.8| 48.6|     |     | |12.076|0.170|11.422|0.149|230|T|
1973 01353 1|T|158.85080311|+26.26987631|       |       | 41.9| 45.3|     |     | |11.857|0.124|10.870|0.088| 84|T|
2000 01109 1|T|203.60124023|+26.27882119|       |       | 19.4| 38.1|     |     | |11.704|0.178|11.069|0.166| 59|T|
2004 00609 1|T|204.17477388|+28.77399485|       |       | 38.4| 47.8|     |     | |11.880|0.126|11.668|0.181|225|T|
2015 00369 1|T|218.76482644|+23.51354026|       |       | 40.9| 34.9|     |     | |11.852|0.139|10.844|0.092|346|T|
2063 01213 1|T|253.76449169|+25.73056008|       |       | 22.6| 27.3|     |     | |11.015|0.044|10.218|0.035|180|T|
2072 00776 1|T|257.18513743|+29.52149905|       |       | 29.4| 33.1|     |     | |11.803|0.112|10.935|0.079|289|T|
2073 01124 2|T|258.48035411|+28.80404733|       |       | 27.3| 21.7|     |     | |11.012|0.061|10.443|0.058| 56|T|
2080 03228 1|T|264.11015718|+25.61593918|       |       | 26.7| 38.1|     |     | |11.038|0.059|10.326|0.052|237|T|
2081 01852 1|T|267.59121086|+25.08258622|       |       | 31.8| 36.9|     |     | |11.749|0.091|11.169|0.090|227|T|
2110 00865 1|T|276.36242482|+25.99929939|       |       | 21.0| 23.9|     |     | |11.201|0.060|10.424|0.050|209|T|
2112 00068 1|T|281.75110610|+26.05441192|       |       | 28.7| 32.1|     |     | |11.952|0.124|11.083|0.091|336|T|
2114 02604 1|T|276.82498504|+27.73768714|       |       | 35.8| 36.7|     |     | |11.920|0.132|11.237|0.117|337|T|
2120 01956 1|T|280.76880516|+28.21898676|       |       | 35.8| 36.3|     |     | |12.138|0.164|11.160|0.116|340|T|
2121 00322 1|T|284.32406291|+29.80292419|       |       | 38.3| 43.8|     |     | |12.045|0.157|10.882|0.089|235|T|
2126 02372 1|T|285.94970311|+26.03747546|       |       | 34.2| 38.8|     |     | |11.401|0.120|10.947|0.127| 56|T|
2128 04226 1|T|290.73238066|+25.47008505|       |       | 35.7| 31.8|     |     | |11.733|0.169|11.862|0.285| 81|T|
2133 00666 2|T|290.97435826|+27.76179192|       |       | 47.1| 35.7|     |     | |11.536|0.195|11.299|0.203| 60|T|
2134 02070 2|T|286.25329891|+29.07033811|       |       | 17.0| 24.2|     |     | |11.050|0.066|10.541|0.069| 59|T|
2136 01425 1|T|289.98511870|+29.20443147|       |       | 31.2| 31.1|     |     | |11.598|0.101|11.005|0.100|232|T|
2142 02306 1|T|295.03989214|+26.18917815|       |       | 81.1| 49.9|     |     | |12.086|0.444|11.730|0.486| 23|T|
2144 01254 1|T|297.87719115|+25.35589189|       |       | 22.4| 25.2|     |     | |11.733|0.104|10.303|0.042|181|T|
2144 01291 1|T|298.91898373|+25.62913972|       |       | 20.4| 22.9|     |     | |11.980|0.135|10.028|0.035|289|T|
2150 05014 1|T|294.89114602|+29.75317222|       |       | 46.4| 44.8|     |     | |11.648|0.184|11.472|0.262|235|T|
2151 05051 1|T|295.50539417|+28.19311015|       |       | 32.8| 33.9|     |     | |11.689|0.126|11.039|0.129|340|T|
2152 01262 1|T|297.75277656|+29.27870140|       |       | 32.7| 52.6|     |     | |11.634|0.135|11.458|0.209|336|T|
2158 00554 1|T|301.46022547|+25.61037542|       |       | 38.5| 37.8|     |     | |11.868|0.157|10.962|0.103|342|T|
2162 01011 1|T|302.84909175|+26.41956561|       |       | 43.4| 46.6|     |     | |11.757|0.132|11.102|0.131|197|T|
2167 01355 1|T|304.38322555|+29.14826184|       |       | 23.2| 31.5|     |     | |11.470|0.085|10.497|0.055| 63|T|
2168 00874 1|T|306.04828490|+29.00120901|       |       | 21.8| 25.5|     |     | |11.659|0.089|10.378|0.042|272|T|
2168 01462 1|T|306.04028298|+28.99838763|       |       | 28.1| 32.5|     |     | |11.595|0.093|10.974|0.087|159|T|
2169 01640 1|T|308.43763905|+28.12897629|       |       | 40.8| 41.8|     |     | |10.773|0.097|10.716|0.152| 82|T|
2170 02086 1|T|310.82867953|+22.99526568|       |       | 26.0| 33.7|     |     | |11.412|0.085|10.744|0.073|171|T|
2183 00855 2|T|312.23849089|+29.53805619|       |       | 40.7| 32.3|     |     | |11.163|0.075|10.788|0.097| 66|T|
2188 01683 2|T|324.35179534|+23.66016959|       |       | 36.5| 29.0|     |     | |11.307|0.082|10.435|0.056| 82|T|
2199 00132 1|T|320.83743203|+29.80845207|       |       | 26.9| 26.0|     |     | |11.075|0.059|10.563|0.060|335|T|
2228 01310 2|T|340.93862063|+26.48396845|       |       | 33.6| 24.9|     |     | |11.815|0.143|11.475|0.184| 57|T|
2231 00841 1|T|339.06811821|+29.73955842|       |       | 32.1| 31.8|     |     | |11.803|0.097|11.098|0.086|234|T|
2248 02065 1|T|348.59969677|+29.76680601|       |       | 69.9| 49.0|     |     | |11.548|0.158|10.841|0.136|340|T|
2289 00353 1|T|015.39816435|+35.98983962|       |       | 42.4| 31.9|     |     | |11.253|0.062|10.644|0.055|223|T|
2289 00846 1|T|014.54500143|+37.10981666|       |       | 44.4| 41.3|     |     | |11.718|0.119|11.086|0.115|200|T|
2291 01636 1|T|018.58059120|+30.54387847|       |       | 65.2| 55.9|     |     | |11.530|0.170|11.202|0.216|203|T|
2303 01580 1|T|020.01907499|+36.62914141|       |       | 45.1| 43.7|     |     | |11.641|0.163|10.842|0.115| 36|T|
2305 01643 1|T|023.19756305|+35.83743854|       |       | 40.2| 31.1|     |     | |11.224|0.084|10.491|0.070| 52|T|
2336 02363 1|T|038.91740228|+37.31393379|       |       | 28.8| 28.1|     |     | |10.735|0.055|10.307|0.067|181|T|
2338 01041 1|T|043.52974696|+36.04298130|       |       | 41.2| 42.8|     |     | |11.028|0.073|10.308|0.065| 58|T|
2349 00290 1|T|051.36005194|+34.79672542|       |       | 48.5| 36.3|     |     | |11.295|0.093|10.974|0.109|284|T|
2363 02186 1|T|055.58865204|+33.96215334|       |       | 29.5| 27.0|     |     |V|      |     |10.011|0.078|199|T|
2364 02647 1|T|057.56076562|+34.81396828|       |       | 71.2| 71.6|     |     | |11.631|0.168|11.400|0.212|282|T|
2407 02151 1|T|082.19200479|+33.62021306|       |       | 70.4| 70.5|     |     | |11.978|0.325|11.033|0.184|166|T|
2409 00399 1|T|086.42966512|+32.03194661|       |       | 69.2| 53.1|     |     | |11.872|0.176|10.848|0.118|290|T|
2410 00225 1|T|088.19565522|+32.55544601|       |       | 52.1| 56.4|     |     | |12.023|0.246|10.667|0.114|225|T|
2418 01031 1|T|088.11168917|+36.29852104|       |       | 38.6| 40.8|     |     | |12.268|0.212|10.445|0.066|204|T|
2432 00768 1|T|093.91154593|+36.14742495|       |       | 54.0| 34.8|     |     | | 9.996|0.056| 9.459|0.053| 57|T|
2441 01968 1|T|104.06969295|+32.44378030|       |       | 75.5| 52.8|     |     | |12.192|0.290|10.365|0.087| 42|T|
2450 02009 1|T|107.35877076|+36.56227463|       |       | 44.9| 34.3|     |     | |10.384|0.062|10.048|0.079| 59|T|
2457 02409 1|T|113.31280910|+32.86028994|       |       | 58.5| 40.7|     |     | |11.467|0.168|10.497|0.105| 65|T|
2470 00061 1|T|124.51303399|+30.83147199|       |       | 28.3| 30.3|     |     | |10.537|0.054| 9.852|0.046| 53|T|
2482 01481 1|T|124.46938548|+35.73025121|       |       | 78.7| 63.1|     |     | |11.854|0.252|11.329|0.236|286|T|
2486 02300 1|T|128.30272449|+33.43272798|       |       | 57.9| 46.7|     |     | |11.641|0.094|11.126|0.093|282|T|
2488 01294 1|T|134.31941806|+32.90355229|       |       | 61.9| 33.1|     |     | |11.313|0.141|10.796|0.147|157|T|
2512 00813 1|T|159.86559307|+31.70339531|       |       | 34.7| 40.0|     |     | |11.633|0.167|10.881|0.138| 67|T|
2530 02371 1|T|187.03604591|+36.68361555|       |       | 45.2| 44.0|     |     | |11.781|0.141|10.858|0.091| 56|T|
2555 01298 1|T|223.99574169|+32.29956985|       |       | 22.8| 42.4|     |     | |10.896|0.050|10.400|0.055| 48|T|
2565 00575 1|T|227.28365391|+33.06222353|       |       | 25.1| 31.0|     |     | |11.569|0.080|10.868|0.070|235|T|
2566 00200 2|T|229.05046661|+34.29565210|       |       | 21.7| 31.1|     |     | |11.400|0.065|10.961|0.075| 39|T|
2571 01694 1|T|234.47050401|+30.10391745|       |       | 30.7| 38.4|     |     | |11.086|0.054|10.483|0.053| 60|T|
2575 01857 1|T|238.74429908|+34.36756222|       |       | 22.0| 36.6|     |     | |11.098|0.073|10.181|0.051|286|T|
2583 02278 1|T|243.67266797|+33.85930028|       |       | 29.5| 61.1|     |     | | 9.945|0.046| 9.353|0.044| 53|T|
2605 00723 2|T|261.94380859|+30.39532171|       |       | 30.1| 21.0|     |     | |11.469|0.099|11.100|0.119| 45|T|
2620 00470 1|T|269.34124670|+35.66934773|       |       | 35.8| 34.4|     |     | |11.773|0.104|11.149|0.100|226|T|
2632 00731 1|T|277.74885627|+34.65598364|       |       | 47.7| 33.0|     |     | |12.082|0.159|10.969|0.092|282|T|
2639 02629 1|T|284.55934016|+30.17582873|       |       | 57.1| 52.1|     |     | |12.074|0.190|11.528|0.188|199|T|
2644 02293 2|T|287.68918237|+32.11616541|       |       | 22.5| 20.4|     |     | |11.000|0.062|10.792|0.087| 56|T|
2645 02017 1|T|279.23420522|+34.86767663|       |       | 35.4| 39.4|     |     | |11.920|0.170|10.626|0.083|158|T|
2654 00091 1|T|290.66648084|+31.73996153|       |       | 47.7| 51.9|     |     | |11.845|0.183|10.937|0.126|230|T|
2654 00191 2|T|290.40889586|+30.29794537|       |       | 31.1| 18.0|     |     | |11.485|0.159|10.835|0.143| 41|T|
2656 03730 1|T|296.47305367|+30.26382095|       |       | 40.0| 37.3|     |     | |11.470|0.114|11.474|0.188|206|T|
2657 01077 1|T|288.11642770|+33.37037912|       |       | 45.3| 53.9|     |     | |12.041|0.226|11.116|0.155|243|T|
2661 00226 2|T|289.67295268|+35.21815161|       |       | 23.9| 29.7|     |     | |10.578|0.055|10.198|0.060| 64|T|
2662 00116 1|T|292.26122560|+33.82887832|       |       | 39.5| 41.5|     |     | |11.590|0.129|10.804|0.097|221|T|
2665 02094 1|T|289.90499152|+37.33820326|       |       | 50.6| 45.7|     |     | |11.675|0.205|11.548|0.254|341|T|
2667 00323 1|T|292.65473341|+35.91331352|       |       | 43.4| 47.7|     |     | |11.740|0.149|11.754|0.244|201|T|
2671 00365 1|T|301.70758744|+31.24756855|       |       | 22.8| 26.1|     |     | |11.249|0.068|10.602|0.063|335|T|
2672 01927 1|T|305.77862328|+30.08295500|       |       | 27.4| 40.8|     |     | |12.109|0.155|11.133|0.104|164|T|
2673 00335 1|T|298.80164627|+33.50117487|       |       | 54.9| 51.6|     |     | |11.678|0.148|11.087|0.146|199|T|
2674 05843 1|T|301.43513417|+33.62499095|       |       | 43.5| 68.7|     |     | |12.047|0.281|11.026|0.187|126|T|
2679 02881 1|T|302.09774105|+35.45818584|       |       | 35.6| 42.0|     |     | |10.913|0.086|11.093|0.170| 62|T|
2679 02888 1|T|303.23551293|+34.47694825|       |       | 28.1| 38.0|     |     | |11.087|0.072|10.622|0.078| 86|T|
2681 00470 1|T|299.10774002|+35.78355523|       |       | 53.2| 61.9|     |     | |13.603|1.416|11.090|0.220|278|T|
2683 03970 1|T|302.68229526|+37.04285884|       |       | 18.4| 45.4|     |     | |10.135|0.069| 9.923|0.087| 46|T|
2683 03975 1|T|302.70162966|+36.75458568|       |       | 47.7| 39.2|     |     | |11.595|0.179|10.909|0.162| 43|T|
2683 03986 1|T|303.26608194|+36.04564727|       |       | 49.6| 45.9|     |     | |11.873|0.164|11.591|0.223|281|T|
2687 02652 1|T|311.41752610|+30.72026798|       |       | 17.7| 25.0|     |     |V|      |     | 9.533|0.066| 62|T|
2690 01168 1|T|308.49368150|+32.07165949|       |       | 35.6| 35.2|     |     | |11.644|0.121|11.373|0.165|165|T|
2691 03119 1|T|311.98425787|+33.16536305|       |       | 30.6| 33.9|     |     | |12.017|0.210|11.524|0.200|119|T|
2694 00141 1|T|308.75203570|+34.84696352|       |       | 46.5| 47.3|     |     | |13.353|0.589|11.112|0.141|281|T|
2696 00435 1|T|314.11893841|+34.07710278|       |       | 26.4| 27.5|     |     | |12.277|0.170|10.709|0.066|204|T|
2709 00544 2|T|315.10944910|+34.18006004|       |       | 27.9| 28.9|     |     | |10.816|0.047|10.530|0.059| 66|T|
2710 00227 2|T|317.82003560|+34.32046009|       |       | 16.4| 23.6|     |     | |11.426|0.073|10.751|0.062| 47|T|
2712 02684 1|T|322.95365008|+33.81782171|       |       | 65.9| 37.3|     |     | |10.775|0.090|10.334|0.098| 43|T|
2714 01620 1|T|317.46632172|+36.99130044|       |       | 30.3| 34.1|     |     | |11.746|0.118|10.699|0.076|206|T|
